Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,20pF,
"C10, C12, C14, C3, C5, C8",0402,6,1uF,
"C11, C13, C7",0402,3,100nF,
"C15, C4, C6",0402,3,10uF,
C9,0402,1,10nF,
D1,0603,1,KT-0603R,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
R1,0402,1,100,
R2,0402,1,499,
"R3, R4",0402,2,10k,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint_Probe,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
U2,SOT-89-3,1,HT75xx-1-SOT89,
U3,CH343P,1,CH343P,
U4,SOT-23-6,1,USBLC6-2SC6,
X1,USB_A_Molex_48037-2200_Horizontal,1,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
